title,url,instructionalLevel,source,institution,isPaid,corpus
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,All Levels,Udemy,Independent/Organisation,True,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours build beautiful html5 websiteIT and Web Development All Levels Udemy Independent/Organisation
Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,All Levels,Udemy,Independent/Organisation,True,Learning Dynamic Website Design - PHP MySQL and JavaScript learning dynamic website designIT and Web Development All Levels Udemy Independent/Organisation
ChatBots: Messenger ChatBot with API.AI and Node.JS,https://www.udemy.com/chatbots/,All Levels,Udemy,Independent/Organisation,True,ChatBots: Messenger ChatBot with API.AI and Node.JS chatbotsIT and Web Development All Levels Udemy Independent/Organisation
Projects in HTML5,https://www.udemy.com/projects-in-html5/,Intermediate Level,Udemy,Independent/Organisation,True,Projects in HTML5 projects in html5IT and Web Development Intermediate Level Udemy Independent/Organisation
Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,Beginner Level,Udemy,Independent/Organisation,True,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015 html css moreIT and Web Development Beginner Level Udemy Independent/Organisation
How To Make A Wordpress Website 2017 | Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial/,Beginner Level,Udemy,Independent/Organisation,True,How To Make A Wordpress Website 2017 | Divi Theme Tutorial how to make a wordpress website 2017 divi theme tutorialIT and Web Development Beginner Level Udemy Independent/Organisation
Build Your Own Backend REST API using Django REST Framework,https://www.udemy.com/django-python/,Intermediate Level,Udemy,Independent/Organisation,True,Build Your Own Backend REST API using Django REST Framework django pythonIT and Web Development Intermediate Level Udemy Independent/Organisation
Angular and Firebase - Build a Web App with Typescript,https://www.udemy.com/angular-firebase-application/,All Levels,Udemy,Independent/Organisation,True,Angular and Firebase - Build a Web App with Typescript angular firebase applicationIT and Web Development All Levels Udemy Independent/Organisation
Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/web-development-masterclass-complete-certificate-course/,All Levels,Udemy,Independent/Organisation,True,Web Development Masterclass - Complete Certificate Course web development masterclass complete certificate courseIT and Web Development All Levels Udemy Independent/Organisation
Spring Boot Tutorial For Beginners,https://www.udemy.com/spring-boot-tutorial-for-beginners/,Beginner Level,Udemy,Independent/Organisation,True,Spring Boot Tutorial For Beginners spring boot tutorial for beginnersIT and Web Development Beginner Level Udemy Independent/Organisation
The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,All Levels,Udemy,Independent/Organisation,True,The Complete Bootstrap Masterclass Course - Build 4 Projects bootstrapcourseIT and Web Development All Levels Udemy Independent/Organisation
Scaling Docker on AWS,https://www.udemy.com/scaling-docker-on-aws/,All Levels,Udemy,Independent/Organisation,True,Scaling Docker on AWS scaling docker on awsIT and Web Development All Levels Udemy Independent/Organisation
Learn JavaScript for beginners,https://www.udemy.com/learn-javascript-course/,Beginner Level,Udemy,Independent/Organisation,True,Learn JavaScript for beginners learn javascript courseIT and Web Development Beginner Level Udemy Independent/Organisation
HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,All Levels,Udemy,Independent/Organisation,True,HTML Tutorial: HTML & CSS for Beginners learn html5IT and Web Development All Levels Udemy Independent/Organisation
Learn by Doing: Vue JS 2.0 the Right Way,https://www.udemy.com/learn-by-doing-vue-js-2-the-right-way/,Intermediate Level,Udemy,Independent/Organisation,True,Learn by Doing: Vue JS 2.0 the Right Way learn by doing vue js 2 the right wayIT and Web Development Intermediate Level Udemy Independent/Organisation
Learn Complete Web Development From Scratch,https://www.udemy.com/learn-complete-web-development-from-scratch/,All Levels,Udemy,Independent/Organisation,True,Learn Complete Web Development From Scratch learn complete web development from scratchIT and Web Development All Levels Udemy Independent/Organisation
Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,Beginner Level,Udemy,Independent/Organisation,True,Introduction to Web Development: HTML webdevelopment101_htmlIT and Web Development Beginner Level Udemy Independent/Organisation
Web Site for Beginners - Learn Web Building like knitting,https://www.udemy.com/web-design-for-grandmothers-with-html/,Beginner Level,Udemy,Independent/Organisation,True,Web Site for Beginners - Learn Web Building like knitting web design for grandmothers with htmlIT and Web Development Beginner Level Udemy Independent/Organisation
How To Make A Wordpress Website 2017 - Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial-for-beginners/,Beginner Level,Udemy,Independent/Organisation,True,How To Make A Wordpress Website 2017 - Divi Theme Tutorial how to make a wordpress website 2017 divi theme tutorial for beginnersIT and Web Development Beginner Level Udemy Independent/Organisation
Web Programming with Python,https://www.udemy.com/web-programming-with-python/,All Levels,Udemy,Independent/Organisation,True,Web Programming with Python web programming with pythonIT and Web Development All Levels Udemy Independent/Organisation
PHP Login and Registration System - Email Confirm Activation,https://www.udemy.com/php-mysql-login-and-registration-system-with-email-confirm-activation/,All Levels,Udemy,Independent/Organisation,True,PHP Login and Registration System - Email Confirm Activation php mysql login and registration system with email confirm activationIT and Web Development All Levels Udemy Independent/Organisation
PSD to Responsive HTML5: Beginner to Advanced,https://www.udemy.com/psd-to-html5-beginner-to-advanced/,All Levels,Udemy,Independent/Organisation,True,PSD to Responsive HTML5: Beginner to Advanced psd to html5 beginner to advancedIT and Web Development All Levels Udemy Independent/Organisation
Ultimate Web Developer Course Build 10 Websites from Scratch,https://www.udemy.com/ultimate-web-developer-course-build-10-websites-from-scratch/,Beginner Level,Udemy,Independent/Organisation,True,Ultimate Web Developer Course Build 10 Websites from Scratch ultimate web developer course build 10 websites from scratchIT and Web Development Beginner Level Udemy Independent/Organisation
Rapid Website Design with Bootstrap,https://www.udemy.com/responsive-website-design/,Beginner Level,Udemy,Independent/Organisation,True,Rapid Website Design with Bootstrap responsive website designIT and Web Development Beginner Level Udemy Independent/Organisation
Build Enterprise Applications with Angular 2 (and Angular 4),https://www.udemy.com/angular2-advanced/,Intermediate Level,Udemy,Independent/Organisation,True,Build Enterprise Applications with Angular 2 (and Angular 4) angular2 advancedIT and Web Development Intermediate Level Udemy Independent/Organisation
Angular 4 (2+) Crash Course for Beginners,https://www.udemy.com/angular-crash-course-for-beginners/,Beginner Level,Udemy,Independent/Organisation,True,Angular 4 (2+) Crash Course for Beginners angular crash course for beginnersIT and Web Development Beginner Level Udemy Independent/Organisation
Accelerated JavaScript Training,https://www.udemy.com/javascript-bootcamp-2016/,All Levels,Udemy,Independent/Organisation,True,Accelerated JavaScript Training javascript bootcamp 2016IT and Web Development All Levels Udemy Independent/Organisation
"Beginner API development in Node, Express, ES6, & MongoDB",https://www.udemy.com/api-development/,Beginner Level,Udemy,Independent/Organisation,True,"Beginner API development in Node, Express, ES6, & MongoDB api developmentIT and Web Development Beginner Level Udemy Independent/Organisation"
React JS and Redux - Mastering Web Apps,https://www.udemy.com/react-js-and-redux-mastering-web-apps/,All Levels,Udemy,Independent/Organisation,True,React JS and Redux - Mastering Web Apps react js and redux mastering web appsIT and Web Development All Levels Udemy Independent/Organisation
Web Development w/ Google’s Go (golang) Programming Language,https://www.udemy.com/go-programming-language/,Intermediate Level,Udemy,Independent/Organisation,True,Web Development w/ Google’s Go (golang) Programming Language go programming languageIT and Web Development Intermediate Level Udemy Independent/Organisation
Git a Web Developer Job: Mastering the Modern Workflow,https://www.udemy.com/git-a-web-developer-job-mastering-the-modern-workflow/,Beginner Level,Udemy,Independent/Organisation,True,Git a Web Developer Job: Mastering the Modern Workflow git a web developer job mastering the modern workflowIT and Web Development Beginner Level Udemy Independent/Organisation
The Complete WordPress Website Business Course,https://www.udemy.com/the-complete-wordpress-website-business-course/,All Levels,Udemy,Independent/Organisation,True,The Complete WordPress Website Business Course the complete wordpress website business courseIT and Web Development All Levels Udemy Independent/Organisation
The Complete HTML and CSS Course For Beginners,https://www.udemy.com/the-complete-html-and-css-course-for-beginners/,All Levels,Udemy,Independent/Organisation,True,The Complete HTML and CSS Course For Beginners the complete html and css course for beginnersIT and Web Development All Levels Udemy Independent/Organisation
Learn  Bootstrap Development By Building 10 Projects,https://www.udemy.com/learn-bootstrap-development-by-building-10-projects/,All Levels,Udemy,Independent/Organisation,True,Learn  Bootstrap Development By Building 10 Projects learn bootstrap development by building 10 projectsIT and Web Development All Levels Udemy Independent/Organisation
Advanced Javascript,https://www.udemy.com/top-javascript-interview-questions-and-answers/,Intermediate Level,Udemy,Independent/Organisation,True,Advanced Javascript top javascript interview questions and answersIT and Web Development Intermediate Level Udemy Independent/Organisation
Dissecting Ruby on Rails 5 - Become a Professional Developer,https://www.udemy.com/professional-rails-5-development-course/,All Levels,Udemy,Independent/Organisation,True,Dissecting Ruby on Rails 5 - Become a Professional Developer professional rails 5 development courseIT and Web Development All Levels Udemy Independent/Organisation
The Complete Wordpress Course - Build Your Own Website Today,https://www.udemy.com/wordpresscourse/,All Levels,Udemy,Independent/Organisation,True,The Complete Wordpress Course - Build Your Own Website Today wordpresscourseIT and Web Development All Levels Udemy Independent/Organisation
JQuery Essentials core training for Dynamic Interactive web,https://www.udemy.com/jquery-essentials-core-training-for-dynamic-interactive-web/,All Levels,Udemy,Independent/Organisation,True,JQuery Essentials core training for Dynamic Interactive web jquery essentials core training for dynamic interactive webIT and Web Development All Levels Udemy Independent/Organisation
Node.js: The Essentials + API Frameworks Express KOA Sails,https://www.udemy.com/nodejs-up-and-running/,Beginner Level,Udemy,Independent/Organisation,True,Node.js: The Essentials + API Frameworks Express KOA Sails nodejs up and runningIT and Web Development Beginner Level Udemy Independent/Organisation
The Complete PHP Bootcamp Course With Video Sharing Project,https://www.udemy.com/php-bootcamp/,Beginner Level,Udemy,Independent/Organisation,True,The Complete PHP Bootcamp Course With Video Sharing Project php bootcampIT and Web Development Beginner Level Udemy Independent/Organisation
Build a Single Page Application with jQuery & AJAX,https://www.udemy.com/jquery-ajax/,Intermediate Level,Udemy,Independent/Organisation,True,Build a Single Page Application with jQuery & AJAX jquery ajaxIT and Web Development Intermediate Level Udemy Independent/Organisation
Practical CSS Website Development: Crash Course ,https://www.udemy.com/css-website-development-crash-course/,All Levels,Udemy,Independent/Organisation,True,Practical CSS Website Development: Crash Course  css website development crash courseIT and Web Development All Levels Udemy Independent/Organisation
Successful website creation - everything you need to know,https://www.udemy.com/total-guide-to-creating-websites-and-an-online-web-business/,All Levels,Udemy,Independent/Organisation,True,Successful website creation - everything you need to know total guide to creating websites and an online web businessIT and Web Development All Levels Udemy Independent/Organisation
