title,url,instructionalLevel,corpus
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,All Levels,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours build beautiful html5 websiteWeb DevelopmentAll Levels
Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,All Levels,Learning Dynamic Website Design - PHP MySQL and JavaScript learning dynamic website designWeb DevelopmentAll Levels
ChatBots: Messenger ChatBot with API.AI and Node.JS,https://www.udemy.com/chatbots/,All Levels,ChatBots: Messenger ChatBot with API.AI and Node.JS chatbotsWeb DevelopmentAll Levels
Projects in HTML5,https://www.udemy.com/projects-in-html5/,Intermediate Level,Projects in HTML5 projects in html5Web DevelopmentIntermediate Level
Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,Beginner Level,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015 html css moreWeb DevelopmentBeginner Level
How To Make A Wordpress Website 2017 | Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial/,Beginner Level,How To Make A Wordpress Website 2017 | Divi Theme Tutorial how to make a wordpress website 2017 divi theme tutorialWeb DevelopmentBeginner Level
Build Your Own Backend REST API using Django REST Framework,https://www.udemy.com/django-python/,Intermediate Level,Build Your Own Backend REST API using Django REST Framework django pythonWeb DevelopmentIntermediate Level
Angular and Firebase - Build a Web App with Typescript,https://www.udemy.com/angular-firebase-application/,All Levels,Angular and Firebase - Build a Web App with Typescript angular firebase applicationWeb DevelopmentAll Levels
Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/web-development-masterclass-complete-certificate-course/,All Levels,Web Development Masterclass - Complete Certificate Course web development masterclass complete certificate courseWeb DevelopmentAll Levels
Spring Boot Tutorial For Beginners,https://www.udemy.com/spring-boot-tutorial-for-beginners/,Beginner Level,Spring Boot Tutorial For Beginners spring boot tutorial for beginnersWeb DevelopmentBeginner Level
The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,All Levels,The Complete Bootstrap Masterclass Course - Build 4 Projects bootstrapcourseWeb DevelopmentAll Levels
Scaling Docker on AWS,https://www.udemy.com/scaling-docker-on-aws/,All Levels,Scaling Docker on AWS scaling docker on awsWeb DevelopmentAll Levels
Learn JavaScript for beginners,https://www.udemy.com/learn-javascript-course/,Beginner Level,Learn JavaScript for beginners learn javascript courseWeb DevelopmentBeginner Level
HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,All Levels,HTML Tutorial: HTML & CSS for Beginners learn html5Web DevelopmentAll Levels
Learn by Doing: Vue JS 2.0 the Right Way,https://www.udemy.com/learn-by-doing-vue-js-2-the-right-way/,Intermediate Level,Learn by Doing: Vue JS 2.0 the Right Way learn by doing vue js 2 the right wayWeb DevelopmentIntermediate Level
Learn Complete Web Development From Scratch,https://www.udemy.com/learn-complete-web-development-from-scratch/,All Levels,Learn Complete Web Development From Scratch learn complete web development from scratchWeb DevelopmentAll Levels
Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,Beginner Level,Introduction to Web Development: HTML webdevelopment101_htmlWeb DevelopmentBeginner Level
Web Site for Beginners - Learn Web Building like knitting,https://www.udemy.com/web-design-for-grandmothers-with-html/,Beginner Level,Web Site for Beginners - Learn Web Building like knitting web design for grandmothers with htmlWeb DevelopmentBeginner Level
How To Make A Wordpress Website 2017 - Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial-for-beginners/,Beginner Level,How To Make A Wordpress Website 2017 - Divi Theme Tutorial how to make a wordpress website 2017 divi theme tutorial for beginnersWeb DevelopmentBeginner Level
Web Programming with Python,https://www.udemy.com/web-programming-with-python/,All Levels,Web Programming with Python web programming with pythonWeb DevelopmentAll Levels
PHP Login and Registration System - Email Confirm Activation,https://www.udemy.com/php-mysql-login-and-registration-system-with-email-confirm-activation/,All Levels,PHP Login and Registration System - Email Confirm Activation php mysql login and registration system with email confirm activationWeb DevelopmentAll Levels
PSD to Responsive HTML5: Beginner to Advanced,https://www.udemy.com/psd-to-html5-beginner-to-advanced/,All Levels,PSD to Responsive HTML5: Beginner to Advanced psd to html5 beginner to advancedWeb DevelopmentAll Levels
Ultimate Web Developer Course Build 10 Websites from Scratch,https://www.udemy.com/ultimate-web-developer-course-build-10-websites-from-scratch/,Beginner Level,Ultimate Web Developer Course Build 10 Websites from Scratch ultimate web developer course build 10 websites from scratchWeb DevelopmentBeginner Level
Rapid Website Design with Bootstrap,https://www.udemy.com/responsive-website-design/,Beginner Level,Rapid Website Design with Bootstrap responsive website designWeb DevelopmentBeginner Level
Build Enterprise Applications with Angular 2 (and Angular 4),https://www.udemy.com/angular2-advanced/,Intermediate Level,Build Enterprise Applications with Angular 2 (and Angular 4) angular2 advancedWeb DevelopmentIntermediate Level
Angular 4 (2+) Crash Course for Beginners,https://www.udemy.com/angular-crash-course-for-beginners/,Beginner Level,Angular 4 (2+) Crash Course for Beginners angular crash course for beginnersWeb DevelopmentBeginner Level
Accelerated JavaScript Training,https://www.udemy.com/javascript-bootcamp-2016/,All Levels,Accelerated JavaScript Training javascript bootcamp 2016Web DevelopmentAll Levels
"Beginner API development in Node, Express, ES6, & MongoDB",https://www.udemy.com/api-development/,Beginner Level,"Beginner API development in Node, Express, ES6, & MongoDB api developmentWeb DevelopmentBeginner Level"
React JS and Redux - Mastering Web Apps,https://www.udemy.com/react-js-and-redux-mastering-web-apps/,All Levels,React JS and Redux - Mastering Web Apps react js and redux mastering web appsWeb DevelopmentAll Levels
Web Development w/ Google’s Go (golang) Programming Language,https://www.udemy.com/go-programming-language/,Intermediate Level,Web Development w/ Google’s Go (golang) Programming Language go programming languageWeb DevelopmentIntermediate Level
Git a Web Developer Job: Mastering the Modern Workflow,https://www.udemy.com/git-a-web-developer-job-mastering-the-modern-workflow/,Beginner Level,Git a Web Developer Job: Mastering the Modern Workflow git a web developer job mastering the modern workflowWeb DevelopmentBeginner Level
The Complete WordPress Website Business Course,https://www.udemy.com/the-complete-wordpress-website-business-course/,All Levels,The Complete WordPress Website Business Course the complete wordpress website business courseWeb DevelopmentAll Levels
The Complete HTML and CSS Course For Beginners,https://www.udemy.com/the-complete-html-and-css-course-for-beginners/,All Levels,The Complete HTML and CSS Course For Beginners the complete html and css course for beginnersWeb DevelopmentAll Levels
Learn  Bootstrap Development By Building 10 Projects,https://www.udemy.com/learn-bootstrap-development-by-building-10-projects/,All Levels,Learn  Bootstrap Development By Building 10 Projects learn bootstrap development by building 10 projectsWeb DevelopmentAll Levels
Advanced Javascript,https://www.udemy.com/top-javascript-interview-questions-and-answers/,Intermediate Level,Advanced Javascript top javascript interview questions and answersWeb DevelopmentIntermediate Level
Dissecting Ruby on Rails 5 - Become a Professional Developer,https://www.udemy.com/professional-rails-5-development-course/,All Levels,Dissecting Ruby on Rails 5 - Become a Professional Developer professional rails 5 development courseWeb DevelopmentAll Levels
The Complete Wordpress Course - Build Your Own Website Today,https://www.udemy.com/wordpresscourse/,All Levels,The Complete Wordpress Course - Build Your Own Website Today wordpresscourseWeb DevelopmentAll Levels
JQuery Essentials core training for Dynamic Interactive web,https://www.udemy.com/jquery-essentials-core-training-for-dynamic-interactive-web/,All Levels,JQuery Essentials core training for Dynamic Interactive web jquery essentials core training for dynamic interactive webWeb DevelopmentAll Levels
Node.js: The Essentials + API Frameworks Express KOA Sails,https://www.udemy.com/nodejs-up-and-running/,Beginner Level,Node.js: The Essentials + API Frameworks Express KOA Sails nodejs up and runningWeb DevelopmentBeginner Level
The Complete PHP Bootcamp Course With Video Sharing Project,https://www.udemy.com/php-bootcamp/,Beginner Level,The Complete PHP Bootcamp Course With Video Sharing Project php bootcampWeb DevelopmentBeginner Level
Build a Single Page Application with jQuery & AJAX,https://www.udemy.com/jquery-ajax/,Intermediate Level,Build a Single Page Application with jQuery & AJAX jquery ajaxWeb DevelopmentIntermediate Level
Practical CSS Website Development: Crash Course ,https://www.udemy.com/css-website-development-crash-course/,All Levels,Practical CSS Website Development: Crash Course  css website development crash courseWeb DevelopmentAll Levels
Successful website creation - everything you need to know,https://www.udemy.com/total-guide-to-creating-websites-and-an-online-web-business/,All Levels,Successful website creation - everything you need to know total guide to creating websites and an online web businessWeb DevelopmentAll Levels
Start Writing JavaScript Today - Beginner JavaScript Course,https://www.udemy.com/start-writing-javascript-today/,Beginner Level,Start Writing JavaScript Today - Beginner JavaScript Course start writing javascript todayWeb DevelopmentBeginner Level
HTML5 Essentials for Beginners,https://www.udemy.com/html5-essentials-for-beginners/,Intermediate Level,HTML5 Essentials for Beginners html5 essentials for beginnersWeb DevelopmentIntermediate Level
Code a personal splash page in 1 hour,https://www.udemy.com/intro-to-html-and-css/,Beginner Level,Code a personal splash page in 1 hour intro to html and cssWeb DevelopmentBeginner Level
Step-by-step HTML and CSS for Absolute Beginners,https://www.udemy.com/step-by-step-html-and-css-for-absolute-beginners/,Beginner Level,Step-by-step HTML and CSS for Absolute Beginners step by step html and css for absolute beginnersWeb DevelopmentBeginner Level
Angular 4 Development Decoded,https://www.udemy.com/marutiangular4/,Intermediate Level,Angular 4 Development Decoded marutiangular4Web DevelopmentIntermediate Level
Javascript ES6! A Complete Reference Guide to Javascript ES6,https://www.udemy.com/javascript-es6-a-complete-reference-guide-to-javascript-es6/,Intermediate Level,Javascript ES6! A Complete Reference Guide to Javascript ES6 javascript es6 a complete reference guide to javascript es6Web DevelopmentIntermediate Level
Reactive JS:  Are you ready for the next big paradigm shift?,https://www.udemy.com/reactive-js-getting-ready-for-the-next-big-paradigm-shift/,Intermediate Level,Reactive JS:  Are you ready for the next big paradigm shift? reactive js getting ready for the next big paradigm shiftWeb DevelopmentIntermediate Level
Learn Python and Django: Payment Processing,https://www.udemy.com/learn-django-code-accept-payments-with-stripe/,All Levels,Learn Python and Django: Payment Processing learn django code accept payments with stripeWeb DevelopmentAll Levels
Code your first Website using HTML & CSS: Project Learning,https://www.udemy.com/code-your-first-website-using-html-css-project-learning/,Beginner Level,Code your first Website using HTML & CSS: Project Learning code your first website using html css project learningWeb DevelopmentBeginner Level
"React.js: Building Production Ready Apps, Start to Finish",https://www.udemy.com/reactjs-building-production-ready-apps-start-to-finish/,All Levels,"React.js: Building Production Ready Apps, Start to Finish reactjs building production ready apps start to finishWeb DevelopmentAll Levels"
Learn Object Oriented Programming PHP fundamentals bootcamp,https://www.udemy.com/learn-object-oriented-programming-php-fundamentals-bootcamp/,All Levels,Learn Object Oriented Programming PHP fundamentals bootcamp learn object oriented programming php fundamentals bootcampWeb DevelopmentAll Levels
Javascript Intermediate level 2 - Mastering Functions,https://www.udemy.com/javascript-intermediate-mastering-functions/,All Levels,Javascript Intermediate level 2 - Mastering Functions javascript intermediate mastering functionsWeb DevelopmentAll Levels
1 Hour CSS,https://www.udemy.com/1-hour-css/,Beginner Level,1 Hour CSS 1 hour cssWeb DevelopmentBeginner Level
"Become a Full Stack Developer with Spring, AWS and Stripe",https://www.udemy.com/become-a-full-stack-developer-with-spring-aws-and-stripe/,Intermediate Level,"Become a Full Stack Developer with Spring, AWS and Stripe become a full stack developer with spring aws and stripeWeb DevelopmentIntermediate Level"
Complete JQuery And JQuery UI Course For Beginner,https://www.udemy.com/complete-jquery-and-jquery-ui-course-for-beginner/,Intermediate Level,Complete JQuery And JQuery UI Course For Beginner complete jquery and jquery ui course for beginnerWeb DevelopmentIntermediate Level
Learn JavaScript for Web Development,https://www.udemy.com/javascript-learn-javascript-essentials-and-build-project/,Intermediate Level,Learn JavaScript for Web Development javascript learn javascript essentials and build projectWeb DevelopmentIntermediate Level
"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",https://www.udemy.com/complete-ajax-using-bootstrap-php-from-basic-to-advanced/,All Levels,"Complete AJAX Using Bootstrap, PHP From Basic To Advanced. complete ajax using bootstrap php from basic to advancedWeb DevelopmentAll Levels"
Complete Wordpress Theme Development Course,https://www.udemy.com/complete-wordpress-theme-development-course/,All Levels,Complete Wordpress Theme Development Course complete wordpress theme development courseWeb DevelopmentAll Levels
How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,https://www.udemy.com/how-to-make-your-wordpress-site-blazing-fast/,All Levels,How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience how to make your wordpress site blazing fastWeb DevelopmentAll Levels
Build A Web App With Spring Framework and Angular 2,https://www.udemy.com/build-a-web-app-with-spring-boot-and-angular-2/,All Levels,Build A Web App With Spring Framework and Angular 2 build a web app with spring boot and angular 2Web DevelopmentAll Levels
Projects in Laravel: Learn Laravel Building 10 Projects,https://www.udemy.com/projects-in-laravel-learn-laravel-building-10-projects/,Intermediate Level,Projects in Laravel: Learn Laravel Building 10 Projects projects in laravel learn laravel building 10 projectsWeb DevelopmentIntermediate Level
Javascript Intermediate level 3 - JSON,https://www.udemy.com/javascript-intermediate-json-course/,All Levels,Javascript Intermediate level 3 - JSON javascript intermediate json courseWeb DevelopmentAll Levels
Develop Your First App in an Hour,https://www.udemy.com/develop-your-first-app-in-an-hour/,Beginner Level,Develop Your First App in an Hour develop your first app in an hourWeb DevelopmentBeginner Level
PHP: Ultimate guide to PHP for everyone,https://www.udemy.com/basic-php/,Beginner Level,PHP: Ultimate guide to PHP for everyone basic phpWeb DevelopmentBeginner Level
JavaScript DOM Dynamic Web interactive content Boot Camp,https://www.udemy.com/javascript-dom-dynamic-web-interactive-content-boot-camp/,All Levels,JavaScript DOM Dynamic Web interactive content Boot Camp javascript dom dynamic web interactive content boot campWeb DevelopmentAll Levels
